nohup: ignoring input
# a142886 v0.1.0 --parallel --max-n 203 --checkpoint a142886_results.txt
# started 2026-05-22 20:14:10 local
# columns: [timestamp] n a(n)
[2026-05-22 20:14:10] 0 1
[2026-05-22 20:14:10] 1 1
[2026-05-22 20:14:10] 2 0
[2026-05-22 20:14:10] 3 0
[2026-05-22 20:14:10] 4 1
[2026-05-22 20:14:10] 5 1
[2026-05-22 20:14:10] 6 0
[2026-05-22 20:14:10] 7 0
[2026-05-22 20:14:10] 8 1
[2026-05-22 20:14:10] 9 2
[2026-05-22 20:14:10] 10 0
[2026-05-22 20:14:10] 11 0
[2026-05-22 20:14:10] 12 3
[2026-05-22 20:14:10] 13 2
[2026-05-22 20:14:10] 14 0
[2026-05-22 20:14:10] 15 0
[2026-05-22 20:14:10] 16 5
[2026-05-22 20:14:10] 17 4
[2026-05-22 20:14:10] 18 0
[2026-05-22 20:14:10] 19 0
[2026-05-22 20:14:10] 20 12
[2026-05-22 20:14:10] 21 7
[2026-05-22 20:14:10] 22 0
[2026-05-22 20:14:10] 23 0
[2026-05-22 20:14:10] 24 20
[2026-05-22 20:14:10] 25 11
[2026-05-22 20:14:10] 26 0
[2026-05-22 20:14:10] 27 0
[2026-05-22 20:14:10] 28 45
[2026-05-22 20:14:10] 29 20
[2026-05-22 20:14:10] 30 0
[2026-05-22 20:14:10] 31 0
[2026-05-22 20:14:10] 32 80
[2026-05-22 20:14:10] 33 36
[2026-05-22 20:14:10] 34 0
[2026-05-22 20:14:10] 35 0
[2026-05-22 20:14:10] 36 173
[2026-05-22 20:14:10] 37 65
[2026-05-22 20:14:10] 38 0
[2026-05-22 20:14:10] 39 0
[2026-05-22 20:14:10] 40 310
[2026-05-22 20:14:10] 41 117
[2026-05-22 20:14:10] 42 0
[2026-05-22 20:14:10] 43 0
[2026-05-22 20:14:10] 44 664
[2026-05-22 20:14:10] 45 216
[2026-05-22 20:14:10] 46 0
[2026-05-22 20:14:10] 47 0
[2026-05-22 20:14:10] 48 1210
[2026-05-22 20:14:10] 49 396
[2026-05-22 20:14:10] 50 0
[2026-05-22 20:14:10] 51 0
